Countries;Number of establishments (2018);Average length of stay (2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BELGIUM;4.170;0.00;;;;;;;;;;;;;;;;2014;0;0.00;32.879;0.00;99.605;0.00;0;0.00;34.019;2.87;14.617;0.00;0;0.00;0;0.00;683.454;2.40;33.274;10.00;22.150;0.00;635.130;0.00;598.742;3.52;35.652;2.51;30.600;0.00;17.949;1.47;0;0.00;0;0.00;35.424;2.54;211.419;0.00;12.804;6.69;31.524;5.51;5.018;0.00;6.380;0.00;46.216;0.00;0;0.00;26.856;0.00;14.958;2.20;0;0.00;0;6.80;5.107;0.00;271.526;3.70;16.784;2.08;0;0.00;18.188;6.00;88.375;0.00;33.096;1.62;0;0.00;15.130;6.10;1.224;2.95;3.020;0.00;201.536;1.95;2.624.815;0.00;326.264;0.00;1.030;7.00;31.288;2.90;0;0.00;0;0.00;0;12.40;56.000;3.00;161.875;3.63;111.712;0.00;0;8.81;84.871;5.78;306.430;2.52;87.870;0.00;1.470;0.00;0;8.87;208.821;8.37;163.469;0.00;399.506;10.00;16.660;7.10;0;0.00;12.454;3.70;32.437;1.82;5.383;0.92;26.345;0.00;24.977;0.00;123.305;1.75;1.307.756;1.79;0;2.80;11.122;12.73;0;0.00;0;0.00;38.425;4.00;1.832.167;2.12;0;0.00;780.721;4.44;2.992;8.92;0;0.00;0;0.00;115.447;0.00;5.966;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;173.914;2.53;25.210;1.74;159.134;0.00;706.436;2.15;229.845;0.00;0;0.00;151.273;0.00;120.440;2.54;2.241.239;3.03;49.783;6.88;3.450.175;1.33;50.031;2.00;109.094;0.00;0;12.93;0;0.00;0;0.00;0;0.00;14.293;0.00;4.900;0.00;55.754;0.00;26.943;1.89;124.311;3.18;5.225;5.00;0;0.00;0;0.00;1.025;2.03;28.459;1.89;14.718;1.88;72.492;1.44;37.154;0.00;0;10.10;0;0.00;31.673;6.10;14.119;0.00;38.779;7.00;0;0.00;12.102;8.80;0;0.00;26.174;0.00;1.384.702;3.72;0;0.00;6.152;2.68;4.642;2.74;0;0.00;34.560;0.00;0;0.00;223.050;3.00;45.403;1.70;86.486;0.00;33.648;0.00;0;0.00;36.179;12.44;252.115;1.72;0;2.80;0;2.00;22.295;2.10;2.961;2.00;417.368;7.00;0;0.00;16.687;2.98;0;0.00;185.437;1.61;22.461;0.00;0;0.00;0;0.00;48.660;2.50;7.861;18.40;28.283;3.50;425.550;1.39;112.046;2.46;292.521;1.91;308.385;2.91;0;2.64;0;0.00;4.140;6.30;280.810;0.00;814.913;0.00;15.430;0.00;0;0.00;0;0.00;0;8.81;0;0.00;0;0.00;1.538;1.69;0;0.00;743.109;0.00;34.296;0.00;54.075;2.78;0;0.00;9.080;10.20;4.014;7.00;0;3.71;0;0.00;0;0.00;91.663;2.90;49.507;2.61;0;0.00;0;0.00;0;0.00;0;0.00;1.862.329;3.36;55.223;9.90;14.857;2.52;17.705;0.00;0;0.00;238.852;0.00;272.636;2.09;0;0.00;0;0.00;0;0.00;0;0.00;0;1.77;1.115;0.00;8.000;2.36;0;0.00;0;0.00;240.077;6.30;784.469;3.18;0;0.00;0;0.00;0;0.00;77.517;7.00;135.049;2.42;0;0.00;1.773.029;0.00;0;0.00;0;0.00;34.618;4.70;32.969;0.00;0;0.00;318.975;15.30;0;0.00;0;0.00;74.433;5.50;13.195;3.00
BELIZE;890;6.28;;;;;;;;;;;;;;;;2015;0;0.00;29.903;0.00;102.244;1.69;0;0.00;33.613;3.05;15.035;0.00;0;0.00;0;0.00;691.272;2.39;33.385;11.00;22.150;0.00;678.361;0.00;600.342;3.43;37.278;1.96;29.454;0.00;20.153;1.75;0;0.00;0;0.00;36.951;2.41;189.838;0.00;13.211;6.58;33.100;5.51;4.894;0.00;4.925;0.00;48.719;0.00;0;0.00;29.585;0.00;16.806;2.20;0;0.00;0;6.70;5.297;0.00;279.100;3.40;21.280;1.97;0;0.00;18.055;6.30;107.574;0.00;34.414;1.63;0;0.00;14.977;6.26;1.390;2.79;3.220;0.00;208.450;1.91;2.593.585;0.00;365.520;0.00;1.096;7.00;37.176;3.90;0;0.00;5.568;0.00;0;11.30;68.000;4.00;164.675;3.58;111.419;0.00;0;8.14;83.395;5.78;314.210;2.61;87.447;0.00;1.565;0.00;0;8.52;210.090;8.32;175.357;0.00;412.108;9.00;16.660;6.80;0;0.00;12.219;3.70;32.620;1.79;5.439;0.88;27.147;0.00;24.163;0.00;122.855;1.74;1.291.190;1.78;0;2.52;11.198;12.30;0;0.00;0;0.00;48.457;4.00;1.908.880;2.10;0;0.00;784.315;4.39;3.061;8.81;0;0.00;0;0.00;120.020;0.00;6.123;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;177.182;2.39;28.037;1.71;162.022;0.00;744.233;1.94;239.228;0.00;0;0.00;150.083;0.00;123.793;2.51;2.250.718;2.95;52.288;6.87;3.474.963;1.33;51.092;0.00;118.355;0.00;0;13.20;612;0.00;0;0.00;0;0.00;12.810;0.00;7.200;0.00;57.642;0.00;24.109;1.81;125.364;3.53;5.649;0.00;0;0.00;0;0.00;912;1.86;28.585;1.84;14.493;1.85;84.814;1.48;41.612;0.00;0;8.80;0;0.00;34.105;5.70;14.813;0.00;39.204;7.90;0;0.00;0;0.00;0;0.00;28.732;0.00;1.473.024;3.95;0;0.00;6.072;2.96;4.717;2.58;0;0.00;34.560;0.00;0;0.00;233.550;2.90;56.426;1.60;99.892;0.00;34.995;0.00;0;0.00;36.950;13.16;254.589;1.72;0;0.00;0;1.90;23.562;2.10;3.598;2.00;568.556;8.00;0;0.00;18.160;2.93;0;0.00;184.720;1.62;25.966;0.00;0;0.00;0;0.00;55.984;2.60;8.942;21.30;31.669;3.50;451.471;1.36;120.464;2.39;301.555;1.93;312.028;3.66;0;2.63;0;3.51;6.419;6.30;298.571;2.12;923.000;0.00;16.597;0.00;0;0.00;0;0.00;0;8.69;0;0.00;0;0.00;1.282;1.81;0;0.00;858.094;0.00;28.035;0.00;52.112;2.28;0;0.00;10.280;9.90;3.432;7.00;0;3.61;0;0.00;0;0.00;96.997;2.90;50.262;2.53;0;0.00;0;0.00;0;0.00;0;0.00;1.879.369;3.31;58.581;10.10;14.965;2.93;0;0.00;0;0.00;236.555;0.00;273.507;2.04;0;0.00;0;0.00;0;0.00;0;0.00;0;2.24;1.160;0.00;8.000;2.36;0;0.00;0;0.00;241.392;5.20;826.255;3.09;0;0.00;0;0.00;0;0.00;81.393;7.00;132.203;2.13;0;0.00;1.781.294;0.00;0;0.00;0;0.00;36.354;5.00;34.898;0.00;0;0.00;329.027;12.80;0;0.00;0;0.00;74.854;4.00;12.772;3.00
BENIN;1.193;5.51;;;;;;;;;;;;;;;;2016;0;0.00;41.376;0.00;107.420;1.68;0;0.00;32.963;2.94;16.411;0.00;0;0.00;0;0.00;688.059;2.37;32.629;11.00;22.150;0.00;676.638;0.00;601.945;3.40;40.042;1.89;29.608;0.00;21.181;1.69;0;0.00;0;0.00;38.613;2.25;190.515;0.00;12.932;6.18;34.755;5.51;4.872;0.00;6.029;0.00;49.682;0.00;0;0.00;32.994;0.00;20.769;2.30;2.407.892;0.00;0;0.00;6.044;0.00;281.869;3.50;21.436;2.11;0;0.00;18.382;6.10;121.066;0.00;37.712;1.65;0;0.00;17.231;6.16;1.860;1.40;0;0.00;223.343;1.90;2.482.841;0.00;386.213;0.00;1.195;7.00;31.170;2.80;0;0.00;5.568;0.00;0;12.10;76.000;4.00;167.380;3.59;111.327;0.00;0;7.90;83.104;5.62;317.756;2.55;89.423;0.00;1.853;0.00;0;0.00;225.615;8.54;165.263;0.00;405.636;6.10;16.660;6.20;0;0.00;12.337;2.90;32.404;1.79;5.303;0.94;30.997;0.00;22.457;0.00;124.333;1.73;1.297.742;1.76;0;2.40;11.198;13.80;0;0.00;0;0.00;61.415;4.00;1.909.656;2.10;0;0.00;788.553;4.40;3.139;8.99;0;0.00;0;0.00;136.792;0.00;6.310;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;181.407;2.39;30.814;1.72;208.578;0.00;775.243;1.82;247.101;0.00;0;0.00;148.965;0.00;126.798;2.50;2.248.225;2.97;55.650;6.87;3.441.401;1.32;51.975;0.00;138.062;0.00;0;13.20;571;0.00;0;0.00;0;0.00;13.666;0.00;7.600;0.00;60.568;0.00;25.276;1.92;126.017;3.20;5.757;0.00;0;0.00;0;0.00;1.264;1.79;28.665;1.84;16.205;1.91;96.706;1.43;44.325;0.00;0;9.30;0;0.00;35.328;5.60;16.963;0.00;39.711;7.60;383;0.00;0;0.00;0;0.00;29.139;0.00;1.538.270;3.69;0;0.00;6.427;2.35;4.901;2.49;0;0.00;37.293;0.00;0;0.00;244.971;2.90;56.571;1.60;112.858;0.00;36.394;0.00;0;0.00;38.242;13.40;261.164;1.73;0;0.00;0;1.90;26.144;2.10;3.709;2.00;627.424;7.00;0;0.00;19.567;2.87;0;0.00;188.842;1.59;28.606;0.00;0;0.00;0;0.00;59.600;3.30;0;0.00;32.791;3.50;472.320;1.38;174.078;2.45;325.776;1.96;325.863;2.86;0;2.57;0;3.39;6.895;9.41;302.100;2.30;1.046.000;0.00;17.081;0.00;0;0.00;0;0.00;0;8.50;0;0.00;0;0.00;1.383;1.69;1.508;0.00;916.776;0.00;33.671;0.00;52.262;2.32;0;0.00;10.350;9.90;2.739;7.00;0;3.43;0;0.00;0;0.00;95.774;2.81;50.994;2.50;3.685;0.00;0;0.00;0;0.00;0;0.00;1.889.335;3.32;69.968;10.20;15.534;2.92;18.478;0.00;0;0.00;240.883;0.00;271.710;2.03;0;0.00;0;0.00;0;0.00;0;0.00;0;2.25;844;0.00;8.000;2.01;0;0.00;0;0.00;235.018;5.60;871.932;3.05;0;0.00;0;0.00;0;0.00;85.463;7.20;135.207;2.02;0;0.00;1.768.795;0.00;0;0.00;0;0.00;38.868;4.60;37.795;0.00;0;0.00;341.433;7.35;0;0.00;0;0.00;46.716;3.70;12.772;3.00
BERMUDA;41;0.00;;;;;;;;;;;;;;;;2017;0;0.00;0;0.00;112.264;1.68;395;0.00;33.099;2.91;16.879;0.00;0;0.00;0;0.00;701.943;2.30;33.912;11.00;23.858;0.00;0;0.00;609.393;3.35;41.611;1.83;32.268;0.00;23.292;1.98;0;0.00;0;0.00;38.632;2.24;191.254;0.00;13.446;5.77;36.493;5.51;5.065;0.00;6.629;0.00;50.421;0.00;0;0.00;36.189;0.00;22.562;1.80;0;0.00;0;0.00;6.226;2.20;293.494;3.52;21.913;2.03;0;0.00;20.421;6.20;134.201;0.00;36.887;1.86;0;0.00;18.067;6.16;2.244;1.30;0;0.00;229.770;2.04;2.505.595;0.00;409.072;0.00;1.270;7.00;23.556;2.30;0;0.00;5.604;0.00;0;11.90;78.060;3.00;166.485;3.49;108.662;0.00;0;8.06;84.565;5.70;317.361;2.43;92.784;0.00;1.929;0.00;0;0.00;231.777;8.61;169.967;0.00;423.356;7.78;16.740;6.20;0;0.00;0;0.00;34.147;1.77;6.169;1.07;46.398;0.00;22.530;0.00;129.487;1.74;1.282.530;1.76;0;2.70;11.616;14.00;0;0.00;0;0.00;66.954;0.00;1.925.910;2.10;0;0.00;806.045;4.37;3.157;9.10;0;0.00;0;0.00;142.640;0.00;6.700;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;181.240;2.41;30.741;1.68;2.914.008;0.00;1.027.656;1.91;253.471;0.00;0;0.00;160.178;0.00;131.274;2.40;2.239.446;2.93;57.973;6.60;3.481.685;1.32;52.535;0.00;152.601;0.00;0;13.00;674;0.00;0;0.00;0;0.00;14.075;0.00;7.700;0.00;66.246;0.00;25.345;1.80;126.213;3.22;6.881;0.00;0;0.00;0;0.00;1.338;1.82;28.930;0.00;15.726;1.88;97.165;1.48;47.089;0.00;0;10.20;0;0.00;41.255;6.20;17.264;0.00;38.988;6.20;0;0.00;0;8.10;0;0.00;29.650;0.00;1.589.162;3.47;0;0.00;6.560;2.32;5.130;2.47;0;0.00;39.183;0.00;0;0.00;253.830;2.85;56.999;1.70;127.956;0.00;0;0.00;0;0.00;39.833;12.60;270.098;1.71;0;0.00;0;1.90;27.662;1.90;3.956;2.00;0;0.00;267;0.00;20.500;2.78;0;0.00;189.327;1.57;30.489;0.00;0;0.00;0;0.00;63.162;3.50;0;0.00;33.813;3.50;498.863;1.36;58.438;3.51;335.917;1.95;402.832;2.77;0;2.48;0;3.75;6.850;9.21;319.672;2.20;1.137.000;0.00;0;0.00;0;0.00;0;0.00;0;8.35;0;0.00;0;0.00;1.406;1.69;1.508;0.00;1.010.680;0.00;55.000;0.00;51.893;2.31;0;0.00;11.680;9.50;2.565;7.00;0;3.38;0;0.00;0;0.00;96.776;2.78;52.214;2.44;0;0.00;0;0.00;0;0.00;0;0.00;1.911.942;3.28;74.419;10.90;16.286;2.85;0;0.00;0;0.00;245.963;0.00;275.203;2.01;0;0.00;0;0.00;0;0.00;0;0.00;0;2.28;702;0.00;8.000;2.00;0;0.00;0;0.00;234.338;5.60;905.397;2.70;0;0.00;0;0.00;0;0.00;0;0.00;132.890;2.01;0;0.00;0;0.00;0;0.00;0;0.00;36.311;4.80;39.933;0.00;0;0.00;342.343;7.55;0;0.00;0;0.00;56.922;4.50;12.772;3.00
BHUTAN;136;0.00;;;;;;;;;;;;;;;;2018;0;0.00;0;0.00;119.155;1.67;0;0.00;32.903;2.38;17.023;0.00;0;0.00;0;0.00;704.509;2.36;36.534;11.00;23.858;0.00;0;0.00;615.541;3.34;46.693;1.72;34.056;0.00;25.712;1.95;0;0.00;0;0.00;38.444;2.15;199.265;0.00;13.912;6.28;38.317;5.51;5.113;0.00;7.167;0.00;51.179;0.00;0;0.00;37.092;0.00;25.330;1.80;0;0.00;0;0.00;6.604;2.30;286.219;3.47;25.395;1.98;0;0.00;21.046;5.90;142.688;0.00;40.001;1.87;0;0.00;19.957;6.07;2.736;1.91;0;0.00;251.898;2.03;2.318.834;0.00;438.889;0.00;1.540;7.00;20.205;2.55;0;0.00;0;0.00;0;11.70;81.496;3.00;169.108;3.39;104.757;0.00;0;7.94;85.927;5.40;327.572;2.61;95.253;0.00;1.943;0.00;0;0.00;241.578;8.37;180.617;0.00;414.774;11.62;16.740;7.50;0;0.00;0;0.00;34.108;1.77;6.365;0.96;53.675;0.00;22.308;0.00;132.740;1.74;1.308.956;1.77;0;2.60;10.533;13.80;0;0.00;7.366;0.00;72.621;0.00;1.911.311;2.10;0;0.00;835.773;4.29;3.239;9.12;0;0.00;0;0.00;149.918;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;183.557;2.37;32.321;1.64;5.084.480;0.00;950.417;1.98;217.747;0.00;0;0.00;158.511;0.00;136.022;2.40;2.260.190;2.89;60.073;6.20;3.612.689;1.33;54.050;0.00;168.603;0.00;0;0.00;627;0.00;0;0.00;0;0.00;0;0.00;7.600;0.00;74.526;0.00;25.501;1.77;126.494;3.18;6.251;0.00;0;0.00;0;0.00;1.302;1.86;30.900;0.00;15.446;1.90;103.272;1.52;49.702;0.00;0;10.80;0;0.00;45.154;6.40;0;0.00;38.158;6.10;0;0.00;7.897;7.00;0;0.00;30.427;0.00;1.616.278;3.44;0;0.00;6.882;2.44;5.104;2.46;0;0.00;39.697;0.00;0;0.00;261.256;2.79;57.995;1.85;136.334;0.00;0;0.00;0;0.00;40.856;12.40;286.069;1.74;0;0.00;0;1.90;25.920;2.00;4.204;2.00;0;0.00;0;0.00;23.146;2.82;0;0.00;202.625;1.63;31.788;0.00;0;0.00;0;0.00;65.442;3.70;0;0.00;35.238;3.50;516.245;1.33;205.504;1.97;353.785;1.97;423.138;2.73;0;3.37;0;3.78;6.491;9.00;328.297;2.20;1.299.000;0.00;0;0.00;0;0.00;0;0.00;0;8.36;0;0.00;0;0.00;1.417;1.81;1.958;0.00;1.107.714;0.00;0;0.00;53.252;2.30;0;0.00;12.024;10.40;3.068;7.00;0;3.33;0;0.00;0;0.00;101.590;2.77;60.438;2.65;0;0.00;0;0.00;0;0.00;0;0.00;1.927.389;3.23;76.870;10.80;16.056;2.78;0;0.00;0;0.00;251.894;0.00;274.792;2.01;0;0.00;0;0.00;15.428;0.00;0;0.00;0;2.27;702;0.00;8.000;1.31;0;0.00;0;0.00;237.618;5.90;942.207;2.87;0;0.00;0;0.00;0;0.00;0;0.00;135.327;2.52;0;0.00;0;0.00;0;0.00;0;0.00;26.233;4.60;42.291;4.00;0;0.00;0;0.00;0;0.00;0;0.00;58.330;4.00;12.772;3.00
BOLIVIA, PLURINATIONAL STATE OF;1.476;0.00;;;;;;;;;;;;;;;;2019;0;0.00;0;0.00;125.676;1.68;0;0.00;0;0.00;17.902;0.00;0;0.00;0;0.00;0;0.00;0;0.00;23.858;0.00;0;0.00;607.010;3.31;0;0.00;35.236;0.00;0;0.00;0;0.00;0;0.00;38.913;2.20;0;0.00;0;0.00;0;0.00;0;0.00;7.777;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;7.227;2.30;288.027;3.33;0;0.00;0;0.00;21.050;6.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;266.835;2.01;0;0.00;0;0.00;1.536;7.00;0;0.00;0;0.00;0;0.00;0;12.56;0;0.00;171.005;3.27;0;0.00;0;0.00;0;0.00;328.501;2.59;102.742;0.00;0;0.00;0;0.00;0;8.52;0;0.00;0;0.00;16.740;8.80;0;0.00;0;0.00;0;0.00;6.644;1.09;59.353;0.00;23.277;0.00;133.515;1.74;0;0.00;0;0.00;10.541;14.90;0;0.00;0;0.00;0;0.00;1.959.076;2.10;0;0.00;0;0.00;2.873;9.06;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;184.090;2.34;0;0.00;0;0.00;1.183.497;1.72;0;0.00;0;0.00;0;0.00;0;0.00;2.260.490;2.87;60.099;6.11;3.905.889;1.34;54.574;0.00;181.201;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;73.339;0.00;26.511;1.80;126.659;3.21;5.971;0.00;0;0.00;0;0.00;1.357;1.76;0;0.00;0;0.00;101.263;1.53;0;0.00;0;0.00;0;0.00;0;6.30;0;0.00;39.457;5.90;0;0.00;0;0.00;0;0.00;31.024;0.00;0;0.00;0;0.00;6.889;2.35;5.528;2.50;0;0.00;0;0.00;0;0.00;0;0.00;57.995;1.66;159.710;0.00;0;0.00;0;0.00;43.999;12.70;0;0.00;0;0.00;0;0.00;23.629;2.00;4.768;2.23;0;0.00;0;0.00;23.858;2.75;0;0.00;209.151;1.64;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;244.032;0.00;0;0.00;438.003;2.82;0;0.00;0;3.73;6.600;9.00;329.931;2.20;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;1.221.243;0.00;0;0.00;54.015;2.31;0;0.00;0;0.00;0;0.00;0;3.36;0;0.00;0;0.00;108.876;2.75;0;2.62;0;0.00;0;0.00;0;0.00;0;0.00;1.951.230;3.15;79.522;10.40;14.852;2.69;0;0.00;0;0.00;0;0.00;273.849;2.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;8.000;1.30;0;0.00;0;0.00;236.015;5.40;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;3.13;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
BONAIRE;0;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOSNIA AND HERZEGOVINA;668;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTSWANA;933;1.80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRAZIL;0;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRITISH VIRGIN ISLANDS;0;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRUNEI DARUSSALAM;89;2.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BULGARIA;2.102;3.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
